src_n,ra_deg,dec_deg,spin period,perr,X-ray period,X-ray period error,est. period,Coe est. period,Coe eccentricity,Coe eccentricity err,sep,name,est. period method,best period,best superorbital,other period,period shape,big dip,orbital cont,superorbital cont,mult superorbital,Type II amp,note,I skew,I kurtosis,V skew,V kurtosis,best auto det pd,Part,I IQR,aperiodic quiescence,abs mean I vs. V-I residual,mean abs faint residual,mean abs bright residual,residual slope diff,bright res monotonic frac,bright - faint slope,best 2-200d period,2-200d period above FAL?,Haberl nearby period above FAL?,Coe nearby period above FAL?,# 2-200d peaks above FAL,best near Coe,est. skew,est. kurtosis,est. range,near est. skew,near est. kurtosis,near est. range,Coe skew,Coe kurtosis,Coe range,near Coe skew,near Coe kurtosis,near Coe range,2-200d skew,2-200d kurtosis,2-200d range,X-ray skew,X-ray kurtosis,X-ray range,exclude from color-mag,exclude OII from color-mag,V IQR,IQR V-I,stdev I,stdev V,stdev I/stdev V,median I,median V,median V-I,mean of V-I,90% I,90% V,90% V-I,75% I,75% V,75% V-I,25% I,25% V,25% V-I,10% I,10% V,10% V-I,I V-I corr,loop metric,sig stdev ratio,base num,type,number switch,stdev V-I
1,19.271511,-73.443405,0.717,0.5,,,3.892,,,,0.40410716114463,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,,NO,,,,,,,0.0,no,no,no,0,0.0,,,,,,,,,,,,,,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20.41893,-72.95907,2.165,2.0,82.0,0.3,84.0,,,,2.14714250523613,SXP 2.16,,84.0,,6.8,FRED,,,yes,,,revisit alias and 6.8,0.768987894492502,-1.03337561992669,-1.53777699280659,1.7045848415681600,83.94259975235830,1.0,0.5845000000000000,NO,0.0346039613091602,0.01649148600784540,0.001695931968919600,0.9429418751986460,0.4,1.944302274501410,83.9430270833163,yes,yes,no,4,83.9430270833163,-0.216992572359049,-0.540924471284696,0.0173417947100027,-0.261238691697904,-0.585008137489289,0.0170499456220892,,,,-0.264699174753268,-0.591556794422401,0.0170903727999399,-0.264699174753268,-0.591556794422401,0.0170903727999399,0.200790426611486,-0.754587334991137,0.00907318423680792,no,no,0.17099999999999900,-0.41350000000000100,0.3562511738415940,0.1525440976517780,2.3353979559067000,14.182,14.636,0.45399999999999900,-0.11315423921956200,14.985,14.741200000000000,-0.24379999999999800,14.6975,14.728,0.03050000000000000,14.113,14.557,0.44400000000000100,14.037,14.350000000000000,0.7042000000000000,-0.9846799925699680,1.349048425095580,0.04507276642169,0.678999999999999,2,1.0,0.11079310914474100
3,13.639167,-73.68364,2.37,0.8,18.38,0.02,18.38,18.6,0.07,0.02,0.259701456501041,SXP 2.37,,18.38,,17.4,,2.0,yes,,,,~1 day error on pd,1.69896512543603,2.0865919597200400,1.45812085957088,0.808845894136204,17.3952359954289,1.0,0.23249999999999800,NO,0.103000984227404,0.031185565733293300,0.05277181353411020,0.5848264663230900,0.43010752688172000,0.8920350623268220,127.11132772522,yes,no,no,10,17.3952359954289,-0.272768701809467,-0.8237773001779,0.007291506979102640,0.43646739688193100,-0.568930644871259,0.00970576470930773,0.0508150203510947,-0.826388560466905,0.0112022449880964,0.43646739688193100,-0.568930644871259,0.00970576470930773,0.019908576995317,-1.53648636281284,0.022763460672687,-0.272768701809467,-0.8237773001779,0.007291506979102640,no,no,0.14749999999999900,-0.08499999999999910,0.26736930281019900,0.16383883256098600,1.6319043454528700,14.771,14.813,0.041999999999999800,0.06975010109189980,15.2964,15.214,-0.0823999999999998,14.936500000000000,14.926,-0.010499999999998600,14.704,14.778500000000000,0.07450000000000050,14.668,14.766,0.5460000000000010,-0.8002922261337710,1.5854294565032600,0.0816608000370594,0.705999999999998,2,1.0,0.05261357252321650
4,14.797429000000000,-71.64596,2.763,7.5,,,82.37,81.81,,,0.0,SXP 2.76,,81.9,,,,1.0,yes,,,0.03,possible drift,1.06194589386649,0.298944192469807,0.799828162047473,1.00913584194482,81.89181818953150,1.0,0.051000000000000200,NO,0.0197248275720671,0.007077579707711550,0.015834312534172800,0.3512198217879970,0.4342105263157900,0.971115744131763,81.9002532659305,yes,yes,yes,11,81.89181818953150,-0.40518476769467100,-1.2313096386185,0.008910241658421470,-0.612345910104582,-1.08122065724752,0.0111049663951164,-0.509215419081619,-1.0251865455637600,0.011815088480061,-0.612345910104582,-1.08122065724752,0.0111049663951164,-0.579566008943545,-1.08767050824847,0.0112389857450648,,,,no,no,0.027999999999998700,-0.023000000000001500,0.04226374636920000,0.030116076714736900,1.4033616254045100,13.91,14.097,0.1869999999999990,0.16363200591255900,13.9988,14.141000000000000,0.14220000000000300,13.939,14.107,0.16799999999999900,13.888,14.079,0.19100000000000100,13.876,14.061800000000000,0.26500000000000200,-0.883934340856408,1.141815877197180,0.187706273385498,0.0749999999999993,3,3.0,0.06289054503687560
5,12.91333,-72.28433,4.78,1.4,,,0.0,,,,0.0,SXP 4.78,,1.805,1400.0,0.6425,,,,,1200,0.133,"0.39,9.5,50.5,70.3 other possible",-0.257502764287622,1.18131366026721,-0.241178672108733,0.598522897183044,2.23380469368163,1.0,0.04200000000000160,NO,0.0157363568460444,0.013798171122995300,0.012748669361967400,0.22896509064953200,0.32558139534883700,0.447156519426874,2.23380469368163,yes,no,no,9,2.23380469368163,,,,-0.430052832562833,-1.16760087072794,0.013377222679166,,,,-0.430052832562833,-1.16760087072794,0.013377222679166,-0.430052832562833,-1.16760087072794,0.013377222679166,,,,no,no,0.025000000000000400,-0.017000000000001200,0.04474693458278390,0.02089110998022680,2.1419127382478100,15.549,15.691,0.14200000000000100,0.14052603382762700,15.61,15.716,0.10600000000000000,15.569,15.704,0.1350000000000000,15.527,15.679,0.15200000000000100,15.504000000000000,15.668200000000000,0.21199999999999800,-0.6677821537439050,0.6998816854048150,0.37996218069329900,-0.0399999999999992,3,2.0,0.022192004405307500
6,14.259583,-72.43188,5.05,0.5,17.13,0.14,17.13,17.2,0.16,0.02,0.902514621153912,SXP 5.05,X-ray,17.13,285.0,,FRED,0.0,,yes,check,0.3,changed est. 17.2 to 17.13,-1.2667047355877,0.786945603467236,-1.38162562464755,0.596448819571561,17.3449574962097,1.0,0.09200000000000050,NO,0.0551815902497307,0.016629458987046700,0.017460180833966100,0.19343931409538000,0.5806451612903230,-0.7708263795358800,5.716049330481830,yes,yes,yes,4,17.3449574962097,0.19199620009178,-0.297040322790503,0.0125771790079643,0.196893386262723,-1.34100254808472,0.0124257668088124,0.0363251712555514,-1.33166554733676,0.0120367671386532,0.196893386262723,-1.34100254808472,0.0124257668088124,0.17834128424082,-1.10262504478328,0.0148442580837589,0.19199620009178,-0.297040322790503,0.0125771790079643,no,no,0.03774999999999910,-0.054250000000001500,0.09515404772954370,0.07522227055363930,1.2649717567577500,15.937,15.995,0.05799999999999980,0.06573618320324900,15.995000000000000,16.042,0.0470000000000006,15.97,16.01925,0.049249999999998900,15.878,15.9815,0.10350000000000000,15.743,15.8277,0.29900000000000100,-0.7854401757019700,1.0627885117225000,0.189620240554253,-0.216999999999999,3,2.0,0.051734165852003000
7,15.722455,-72.74299,6.85,0.5,21.9,0.1,21.9,22.0,0.26,0.03,0.421282928155758,SXP 6.85,X-ray,24.8,,21.9,FRED,,,yes,"550,680,745",,3 epochs,1.01188338873685,0.0996150553031128,0.927689366710741,-0.508443270219703,23.9702317215723,1.0,0.29500000000000000,NO,0.0413168097579789,0.02128194206269400,0.031076454574915000,0.08518429465527,0.3026315789473680,-0.4198792178506550,108.607233266176,yes,no,no,17,23.9702317215723,-0.0074967600856080200,-0.63063599936127,0.00732213337196974,0.0914018442092604,-1.3156753125649200,0.00946912860496596,0.336858125015214,-0.845104539674178,0.005678885701327020,0.0914018442092604,-1.3156753125649200,0.00946912860496596,-0.540307292863252,-1.07437040576101,0.0212126641243575,-0.0074967600856080200,-0.63063599936127,0.00732213337196974,no,no,0.17100000000000100,-0.12399999999999900,0.21999887544928100,0.14997190629598200,1.4669339137097800,14.660500000000000,14.6835,0.023000000000001500,0.012638934779665800,15.069000000000000,15.0029,-0.06609999999999870,14.829,14.789000000000000,-0.03999999999999920,14.534,14.618,0.08399999999999960,14.509,14.602,0.4939,-0.9670343623561130,0.6846215575681030,0.0983259919267554,0.497000000000002,2,0.0,0.08145425212127040
8,13.541667,-72.42889,6.878,204.0,,,0.0,2.71,,,0.0,SXP 6.88,,,,,,,,,,,,-1.57158801623942,16.9290226352904,-0.545019015230734,0.775376708749687,6.22845701580613,2.0,0.015000000000000600,YES,0.0279875935929694,0.005904984074198410,0.0059342766931619800,0.04314590164204960,0.26785714285714300,-0.016790139772403300,6.22845701580613,no,no,no,0,2.69713453752311,,,,-0.151327005018181,-0.223013917520554,0.00758066391918177,-0.519848573171764,-1.0965433151246,0.00388548369249264,-1.22764640846201,0.746575373824725,0.00650438869738679,-0.151327005018181,-0.223013917520554,0.00758066391918177,,,,calib,no,0.020250000000000800,0.005250000000000200,0.013639488270696700,0.015539261303823700,0.8777436715952840,16.401,17.872,1.471,1.467607556026800,16.417,17.89,1.473000000000000,16.409,17.88125,1.4722500000000000,16.394,17.861,1.4670000000000000,16.387,17.85,1.5030000000000000,-0.70496952129988,0.4358279258961280,0.841333428945365,-0.0150000000000006,6,0.0,0.02161612221839380
9,13.02375,-72.43445,7.78,0.6,44.92,0.06,44.92,44.8,,,0.136824890037821,SXP 7.78,,44.91,,,FRED,1.0,yes,no,,0.34,identical with established,-2.19856063792694,8.803888884728130,-2.31957159217475,10.9890666683407,44.90776941733950,1.0,0.05650000000000160,NO,0.0330453288695248,0.021170606744484300,0.07909886749540750,0.2812933611788720,0.6,-0.12529505522956300,44.9117643178375,yes,yes,yes,4,44.90776941733950,-0.990628750856822,-0.122647843529407,0.0377583497259852,-0.845336304221921,-0.469555359481555,0.0376529516177939,-0.146847695350199,-1.55834781589429,0.0229928256295331,-0.845336304221921,-0.469555359481555,0.0376529516177939,-0.805079029542211,-0.55465361856269,0.0362274042898871,-0.990628750856822,-0.122647843529407,0.0377583497259852,no,no,0.038750000000000300,-0.017750000000001300,0.06365301931505730,0.05908053462518120,1.0773940980542100,14.772,14.927,0.15499999999999900,0.16379845629652900,14.8298,14.964,0.13420000000000000,14.804,14.953,0.14899999999999900,14.747500000000000,14.91425,0.1667500000000000,14.718,14.906,0.24600000000000000,-0.667340526448103,2.082393190995930,0.250249316834305,-0.171000000000001,3,0.0,0.025315760663935700
10,14.493333,-72.37486,7.92,1.5,,,40.03,35.61,,,1.21453014233296,SXP 7.92,,39.83,,,FRED,0.0,,no,,,bootstrap stdev 0.009d,-1.58634131847835,3.23769244092278,0.982468755664056,0.0531935771910299,39.8349820563453,1.0,0.041999999999999800,NO,0.0261023548762241,0.014534517079452700,0.02880050446339200,0.037009501780852500,0.42857142857142900,-0.11178599421443800,39.83442157985970,yes,yes,yes,7,39.0464654142635,-0.1691321860606,-0.351291241267256,0.007304330324730660,0.0730706012275708,1.19198634178521,0.0330771284592082,-0.62977336802429,0.346923055969418,0.008565739252366810,-0.28764618128226,-1.5234981385163,0.0112239228665132,0.081529736598232,1.09923857225322,0.0326464655220331,,,,no,no,0.0754999999999999,0.033500000000000100,0.06068029889096730,0.06012007025959450,1.0093184959524100,15.88,15.75,-0.13000000000000100,-0.07909768546191180,15.915,15.871,-0.04399999999999870,15.897,15.80975,-0.08725000000000090,15.855,15.73425,-0.12075000000000100,15.77,15.721,0.10100000000000100,-0.6832617411444410,0.8870639938054710,0.231049211001584,-0.147000000000002,3,1.0,0.08215634245008470
