src_n,ra_deg,dec_deg,spin period,perr,est. period,sep,name,mean I,stdev I,max I,min I,I range,mean V,stdev V,max V,min V,V range,est. period method,references,best period,trusted new period,Raj superorbital,Raj superorbital err,best superorbital,other period,type,interesting flag,interesting note,type note,aperiodic,range of medians,orbital cont,superorbital cont,mult superorbital,changing superorbital amp,redder when brighter,I V-I corr,V V-I corr,I V-I slope,I V-I int,V V-I slope,V V-I int,V-I transition,mean abs I vs. V-I residual,mean abs faint residual,mean abs bright residual,residual slope diff,bright res monotonic frac,faint slope,faint int,bright slope,bright int,0.95 slope,0.95 int,5 bright slope,5 bright int,Type II amp,X-ray behavior,follow-up note,I skew,I kurtosis,V skew,V kurtosis,best auto det pd,Part,I IQR,pf period,pf amp,pf phase diff,pf phase max,pf phase min,pf diff mean,pf mean,pf skew ,pf kurtosis,pf symm sum,pf mean err,base string,max std 5,rel max std 5,min std 5,det stdev I,det stdev/I range,base num,det IQR,calibration flag,stdev ratio,IQR ratio,sig stdev ratio,total days,# dips/flares,days / dip/flare,loop metric
2,20.41893,-72.95907,2.165,2.0,84.0,2.14714250523613,,14.3795062695925,0.356251173841594,15.06,13.982999999999999,1.077,14.5956222222222,0.152544097651778,14.753,14.195,0.5579999999999999,X-ray,,84.0,,,,,6.8,2,1.0,both faint + bright base? long timescale despite moderate periodicity,reclassified from 3+5; to do: check if 2 or 3,,,,yes,,no,yes,-0.984679992569968,-0.95466786124574,-2.3144224273066603,14.4468897524472,-1.31442242730667,14.4468897524472,no,0.0346039613091602,0.0164914860078454,0.0016959319689196,0.942941875198646,0.4,-1.91030063548422,14.513809944356199,0.0340016390171819,14.0853969235308,0.0340016390171819,14.0853969235308,0.0340016390171495,14.0853969235308,,,revisit alias and 6.8,0.768987894492502,-1.03337561992669,-1.5377769928065903,1.70458484156816,83.98507035547841,1.0,0.5845,83.98507035547841,0.0164943866724414,0.375,0.84375,0.46875,0.00799350475778271,14.3768092268206,-0.129869971441998,-0.6724863082325129,0.0037767897551407507,0.0017867632292485399,undetermined or no base,0.36990517703865694,1.0383269002311701,0.0598745354888033,0.0166808330297476,0.0154882386534332,0.6789999999999989,0.0151844858677581,0.0,0.0468232366784135,0.0259785900218274,0.0379503850984924,6639.8163700000005,2.0,3319.9081850000002,1.3158016718488261
3,13.639167,-73.68364,2.37,0.8,18.38,0.25970145650104104,SXP 2.37,14.8778134490239,0.26736930281019894,15.687000000000001,14.527999999999999,1.159,14.8874234234234,0.163838832560986,15.312999999999999,14.724,0.589,X-ray,Li 2016,18.38,,2800.0,700.0,,17.4,3,,,,,,yes,,,yes,yes,-0.8002922261337709,-0.669859399685264,-3.0859443060250498,15.032918249640698,-2.0859443060250498,15.032918249640698,yes,0.103000984227404,0.0311855657332933,0.0527718135341102,0.58482646632309,0.623655913978495,-1.93720690021894,15.2182501625759,-1.04517183789211,14.8252545464946,36.83473838710629,7.264885407825131,-1.01230052130177,14.7355174170983,,,~1 day error on pd,1.69896512543603,2.0865919597200397,1.45812085957088,0.8088458941362041,17.4043539426062,1.0,0.232499999999998,17.4043539426062,0.007245304599770459,0.375,0.03125,0.65625,0.00323575941790089,14.874752400112,-0.146747033427347,-1.20885182814075,0.000910855889602301,0.0018497308559052399,base at brightest,0.33099208449749895,1.23795843808018,0.0648734152022224,0.0223954683503195,0.0193230960744776,0.705999999999998,0.0150450002799811,0.0,0.0837623022348892,0.0647096786235752,0.0670731911222372,6640.81154,2.0,3320.40577,1.8151180474821702
4,14.797429,-71.64596,2.763,7.5,82.37,0.0,SXP 2.76,13.919471753485,0.0422637463692,14.05,13.857000000000001,0.193000000000001,14.0978878504673,0.0301160767147369,14.193,14.046,0.147,,,81.9,,,,,,5,,re-classified 4/15/21 but potential to be 3 with longer timescale,,,,yes,,,,check,-0.883934340856408,0.647129635384874,-0.690112309692937,14.047180306094699,0.309887690307084,14.047180306094699,yes,0.0197248275720671,0.00707757970771155,0.0158343125341728,0.35121982178799704,0.618421052631579,-1.33150985370695,14.1183342153458,-0.36039410957518303,13.9768629213518,-0.0939507306972605,13.8959208498382,0.0273997576578542,13.8666924847354,0.03,,possible drift,1.06194589386649,0.298944192469807,0.7998281620474731,1.00913584194482,81.89181818953149,1.0,0.0510000000000002,81.89181818953149,0.0111049663951164,0.625,0.34375,0.71875,0.00450043657880095,13.918743660071199,-0.6123459101045821,-1.08122065724752,0.0041235339421668,0.000757154079799193,base at brightest,0.0537676482654766,1.27219314151147,0.00638748776906893,0.0079331703302724,0.0411045094832765,0.0749999999999993,0.0102410638503265,0.0,0.187706273385498,0.200805173535813,0.166482263764789,6640.80023,0.0,0.0,1.35835723058064
5,12.91333,-72.28433000000001,4.78,1.4,0.0,0.0,,15.549296078431402,0.0447469345827839,15.663,15.388,0.275,15.6910318471338,0.0208911099802268,15.742,15.626,0.116000000000001,,,1.805,,,,1400.0,0.6425,4,,,,,,,,1200,,check,-0.667782153743905,0.179757032867656,-0.8307803173263728,15.6672520762821,0.169219682673608,15.6672520762821,no,0.0157363568460444,0.0137981711229953,0.0127486693619674,0.228965090649532,0.581395348837209,-0.8972339567782059,15.6973201734219,-0.450077437351332,15.6069157246875,0.127221586253077,15.466848995926002,0.0196900682831021,15.4894420804437,0.133,,"0.39,9.5,50.5,70.3 other possible",-0.257502764287622,1.18131366026721,-0.24117867210873298,0.598522897183044,2.23378966592067,1.0,0.0420000000000016,2.23378966592067,0.0159329314304273,0.3125,0.21875,0.90625,0.00833693386916101,15.5480184911976,-0.16282232315365,-0.997412710573224,0.00274057606040883,0.00166979708580229,undetermined or no base,0.0282658804922118,0.631683058420876,0.0465084938478987,0.0169800617233329,0.0617456789939378,-0.0399999999999992,0.0190298695357214,0.0,0.379468714039372,0.453092131802873,0.3382899181957719,6640.84271,0.0,0.0,1.0236509394066262
6,14.259583,-72.43188,5.05,0.5,17.13,0.9025146211539119,SXP 5.05,15.9059049471929,0.0951540477295437,16.044,15.609000000000002,0.43500000000000094,15.974553571428599,0.0752222705536393,16.065,15.77,0.29500000000000204,X-ray,Brown 2019,17.13,,,,285.0,,4,1.0,SXP 5.05,,,,,yes,check,yes,check,-0.78544017570197,-0.447260073628466,-1.6503230063198302,16.0173033237133,-0.65032300631985,16.0173033237133,yes,0.0551815902497307,0.0166294589870467,0.0174601808339661,0.19343931409538,0.6129032258064521,-0.762995973718568,15.996140377253099,-1.53382235325445,15.893722767421599,-0.27508459334701696,15.682189419967198,0.13616019008343902,15.631556742118699,0.3,,changed est. 17.2 to 17.13,-1.2667047355877,0.786945603467236,-1.38162562464755,0.596448819571561,17.3479290425946,1.0,0.0920000000000005,17.3479290425946,0.0109188072698299,0.5625,0.71875,0.15625,0.00629877182456784,15.9036864917449,0.276519999711647,-1.12913684639149,0.00559367814907016,0.00159879234412252,undetermined or no base,0.041092091696577994,0.43184806823325106,0.12518050966504302,0.0223398092853028,0.0513558834144891,-0.216999999999999,0.0191116448289215,0.0,0.234775186325223,0.20773526987958,0.166968778189058,8100.80821,0.0,0.0,1.058766727055559
7,15.722454999999998,-72.74299,6.85,0.5,21.9,0.421282928155758,SXP 6.85,14.7216360808709,0.219998875449281,15.352,14.470999999999998,0.8809999999999999,14.7407551020408,0.149971906295982,15.095999999999998,14.578,0.518000000000001,X-ray,"McGowan 2007, Townsend 2009, Kennea 2018, Galache 2008: 112d",24.8,,621.0,4.0,,21.9,2,1.0,three super-orbital periods and mismatched optical and X-ray periods ,keep 24.8 as best period?,,,,yes,"550,680,745",yes,yes,-0.9670343623561128,-0.922521720912516,-2.6985281612888503,14.762222688692802,-1.69852816128884,14.762222688692802,,0.0413168097579789,0.021281942062694,0.031076454574915004,0.08518429465527,0.578947368421053,-1.74396826560922,14.912792222429,-2.1638474834598704,14.722952261212999,0.279000163848486,14.478347980774698,-1.1727735563064199,14.6027861391636,,,3 epochs,1.0118833887368501,0.0996150553031128,0.92768936671074,-0.5084432702197029,23.9617223986765,1.0,0.295,23.9617223986765,0.00943484877800316,0.5625,0.34375,0.78125,0.00383245820527145,14.718428240198698,-0.23156594520871102,-0.7791739241488149,0.0032391324370029803,0.00208095036614693,base at brightest,0.165543468611721,0.752474158213985,0.00935093578204865,0.0217456262389852,0.0246828901691092,0.497000000000002,0.0222247010149559,0.0,0.0988442608834993,0.0753379695422234,0.0787808130297957,8099.84125,5.0,1619.96825,1.038415132414308
8,13.541667000000002,-72.42889,6.877999999999999,204.0,0.0,0.0,,16.464385906040302,0.0136394882706967,16.526,16.314,0.212,17.8975514705882,0.0323864123317128,17.953,17.812,0.14099999999999802,,,,,,,,,7,,,,YES,,,,,,check,-0.51042932387311,0.941401927339067,-0.175371949039909,16.716928897182,0.8246280509600921,16.716928897182,,0.0279875935929694,0.00699214119483508,0.00723928683967265,-0.493297894206397,0.558823529411765,-0.126183311886808,16.6665152040147,-0.416905838810395,17.0150240818017,5.3706779489905,8.18362036039737,-0.27356841993172,16.7878690808334,,,,-0.10143414916564,-1.6535462764650402,-0.182663637330872,-1.08036740632673,6.22845701580613,2.0,0.0837499999999984,6.22845701580613,0.00758066391918177,0.5625,0.65625,0.09375,0.00365064438168816,16.443051132751698,-0.151327005018181,-0.223013917520554,0.00119015380434513,0.0012264045859138699,undetermined or no base,0.0357994413364235,0.8150185640115529,0.0127342059037848,0.0123705532742953,0.0583516663881854,-0.0359999999999978,0.0140170748861266,1.0,0.90696608470806,0.167368058341813,0.732838185792363,6640.80597,0.0,0.0,0.24712702957985444
9,13.02375,-72.43445,7.78,0.6,44.92,0.136824890037821,SXP 7.78,14.768246839654,0.0636530193150573,14.987,14.415,0.572000000000001,14.925058441558399,0.0590805346251812,15.144,14.652999999999999,0.491,X-ray,,44.91,,1116.0,56.0,,,4,,,,,,yes,no,,yes,check,-0.667340526448103,-0.394779374125065,-1.92131446461052,15.0759683286253,-0.921314464610522,15.0759683286253,yes,0.0330453288695248,0.0211706067444843,0.0790988674954075,0.28129336117887205,0.6,-0.986006455227554,14.9348737954316,-1.11130151045712,14.7751127342451,28.058472789121197,7.207561759374009,-0.994359192187621,14.671413375290802,0.34,,identical with established,-2.19856063792694,8.803888884728131,-2.31957159217475,10.9890666683407,44.9016965885588,1.0,0.0565000000000016,44.9016965885588,0.0381265125603054,0.5625,0.65625,0.09375,0.0124230212556236,14.7627029408383,-0.9082589705785941,-0.250843088436218,0.00669719300704002,0.0019791702385474,base at faintest,0.0605659970610574,0.9515023436874158,0.11889390228266601,0.0265646329663273,0.0464416660250476,-0.171000000000001,0.0156716051934751,0.0,0.4173350023640329,0.277373543247339,0.22915833303049601,6640.84271,0.0,0.0,2.0325230611257963
10,14.493332999999998,-72.37486,7.92,1.5,40.03,1.21453014233296,SXP 7.92,15.8630794663573,0.0606802988909673,16.053,15.536,0.517000000000001,15.7777831325301,0.0601200702595945,15.972999999999999,15.687000000000001,0.28600000000000103,,Bartlett 2017,39.83,,397.0,2.0,,,4,1.0,consistent phase-fold dip and more triangular than type 1 and goes below faint base; color-mag,"re-classifed; to do: check type, check X-ray",,,,no,,yes,check,-0.683261741144441,0.7737722449334531,-0.43377175342740604,15.822570476277198,0.5662282465726031,15.822570476277198,yes,0.0261023548762241,0.0145345170794527,0.028800504463392003,0.037009501780852494,0.6190476190476191,-0.10070375014314902,15.8720106753854,-0.212489744357587,15.782547586243801,99.70382808678619,7.8357050940549895,-0.8670634882825279,15.742667292748301,,,bootstrap stdev 0.009d,-1.58634131847835,3.23769244092278,0.9824687556640559,0.0531935771910299,39.8349820563453,1.0,0.0419999999999998,39.8349820563453,0.0246495957301125,0.6,0.45,0.85,0.0129843013705932,15.860965651524598,0.0832423567294679,-0.202325556366931,0.0076781616740087,0.00114967333174837,base at faintest,0.0424575081699342,0.6996918101247901,0.0683444218645533,0.0182923193339222,0.0353816621545883,-0.14700000000000196,0.0126532327148592,0.0,0.301454008438399,0.301267445591887,0.20358298323546697,8105.88318,0.0,0.0,1.11266696226558
11,12.971667,-72.53,8.9,1.0,28.51,0.5223467983897679,SXP 8.9,14.7715826086957,0.303707683288023,15.304,14.341,0.9630000000000011,14.75631875,0.23600339965440698,15.295,14.411,0.884,X-ray,Galache 2008: 28.4,28.5,,1786.0,32.0,,,1+2,1.0,both faint + bright base? and potential transition to quiescence,,,,,,,yes,check,-0.6772792774073829,-0.42451937262899103,-2.0380152724825003,14.7532789797738,-1.03801527248251,14.7532789797738,yes,0.162636420604451,0.123423481825491,0.0781027279585012,-0.20707846359756,0.626506024096386,0.142284111471721,15.0423089211218,-0.6867107409411309,14.5484672106439,0.0499780176397538,14.3663811283571,0.0165928046750708,14.362608062722002,,,1000 days sometimes,0.370673040118742,-1.40543015890406,0.573265060335847,-0.557822629517763,28.494468587601,1.0,0.555,28.494468587601,0.00965657470968395,0.5625,0.59375,0.03125,0.0038109194198829906,14.7696470016257,-0.166558622227575,-0.6480693873286321,0.000625812775112422,0.00161538390968582,undetermined or no base,0.0638172390502757,0.210127180054758,0.077620615818222,0.017275499202936,0.0179392515087601,0.33500000000000296,0.0172410337779336,0.0,0.0568819959241949,0.0310649257260065,0.0454361169101454,8261.13336,0.0,0.0,-0.07340546289068642
