src_n,ra_deg,dec_deg,spin period,perr,est. period,sep,name,mean I,stdev I,max I,min I,I range,mean V,stdev V,max V,min V,V range,est. period method,references,best period,trusted new period,Raj superorbital,Raj superorbital err,best superorbital,other period,type,interesting flag,interesting note,type note,aperiodic,redder when brighter,I V-I corr,I V-I slope,I V-I int,V-I transition,mean abs I vs. V-I residual,mean abs faint residual,mean abs bright residual,residual slope diff,bright res monotonic frac,faint slope,faint int,bright slope,bright int,0.95 slope,0.95 int,5 bright slope,5 bright int,X-ray behavior,follow-up note,I skew,I kurtosis,V skew,V kurtosis,best auto det pd,Part,I IQR,pf period,pf amp,pf phase diff,pf phase max,pf phase min,pf diff mean,pf mean,pf skew ,pf kurtosis,pf symm sum,pf mean err,det stdev I,base num,calibration flag,stdev ratio,sig stdev ratio,total days,# dips/flares,days / dip/flare,loop metric
2,20.41893,-72.95907,2.165,2.0,84.0,2.14714250523613,,14.3795062695925,0.356251173841594,15.06,13.983,1.077,14.5956222222222,0.152544097651778,14.753,14.195,0.558,X-ray,,84.0,,,,,6.8,2,1.0,both faint + bright base? long timescale despite moderate periodicity,reclassified from 3+5; to do: check if 2 or 3,,yes,-0.984679992569968,-2.31442242730666,14.4468897524472,no,0.0346039613091602,0.0164914860078454,0.0016959319689196,0.942941875198646,0.4,-1.91030063548422,14.513809944356199,0.0340016390171819,14.0853969235308,0.0340016390171819,14.0853969235308,0.0340016390171495,14.0853969235308,,revisit alias and 6.8,0.768987894492502,-1.03337561992669,-1.53777699280659,1.7045848415681601,83.98507035547841,1.0,0.5845,83.98507035547841,0.0164943866724414,0.375,0.84375,0.46875,0.00799350475778271,14.3768092268206,-0.129869971441998,-0.672486308232513,0.0037767897551407507,0.0017867632292485399,0.0166808330297476,0.678999999999999,0.0,0.0468232366784135,0.0379503850984924,6639.81637,2.0,3319.908185,1.31580167184883
3,13.639167,-73.68364,2.37,0.8,18.38,0.259701456501041,SXP 2.37,14.8778134490239,0.267369302810199,15.687,14.528,1.159,14.8874234234234,0.163838832560986,15.313,14.724,0.589,X-ray,Li 2016,18.38,,2800.0,700.0,,17.4,2,,,,,yes,-0.800292226133771,-3.08594430602505,15.032918249640698,yes,0.103000984227404,0.0311855657332933,0.0527718135341102,0.58482646632309,0.623655913978495,-1.93720690021894,15.2182501625759,-1.04517183789211,14.8252545464946,36.83473838710629,7.264885407825131,-1.01230052130177,14.7355174170983,,~1 day error on pd,1.69896512543603,2.08659195972004,1.45812085957088,0.808845894136204,17.4043539426062,1.0,0.232499999999998,17.4043539426062,0.007245304599770459,0.375,0.03125,0.65625,0.00323575941790089,14.874752400112,-0.146747033427347,-1.2088518281407499,0.000910855889602301,0.0018497308559052399,0.0223954683503195,0.705999999999998,0.0,0.0837623022348892,0.0670731911222372,6640.81154,2.0,3320.40577,1.81511804748217
4,14.797429000000001,-71.64596,2.763,7.5,82.37,0.0,SXP 2.76,13.919471753485,0.042263746369199995,14.05,13.857,0.193000000000001,14.0978878504673,0.0301160767147369,14.193,14.046,0.147,,,81.9,,,,,,3,,re-classified 4/15/21 but potential to be 3 with longer timescale,,,check,-0.883934340856408,-0.690112309692937,14.047180306094699,yes,0.0197248275720671,0.00707757970771155,0.0158343125341728,0.351219821787997,0.618421052631579,-1.3315098537069499,14.1183342153458,-0.36039410957518303,13.9768629213518,-0.0939507306972605,13.8959208498382,0.0273997576578542,13.8666924847354,,possible drift,1.06194589386649,0.298944192469807,0.799828162047473,1.00913584194482,81.89181818953149,1.0,0.0510000000000002,81.89181818953149,0.0111049663951164,0.625,0.34375,0.71875,0.00450043657880095,13.918743660071199,-0.612345910104582,-1.08122065724752,0.0041235339421668,0.000757154079799193,0.0079331703302724,0.0749999999999993,0.0,0.187706273385498,0.166482263764789,6640.80023,0.0,0.0,1.3583572305806397
5,12.91333,-72.28433,4.78,1.4,0.0,0.0,,15.549296078431402,0.0447469345827839,15.663,15.388,0.275,15.6910318471338,0.0208911099802268,15.742,15.626,0.11600000000000099,,,1.805,,,,1400.0,0.6425,3,,,,,check,-0.667782153743905,-0.830780317326373,15.6672520762821,no,0.0157363568460444,0.0137981711229953,0.0127486693619674,0.22896509064953197,0.581395348837209,-0.897233956778206,15.6973201734219,-0.450077437351332,15.6069157246875,0.127221586253077,15.466848995926002,0.0196900682831021,15.4894420804437,,"0.39,9.5,50.5,70.3 other possible",-0.257502764287622,1.18131366026721,-0.241178672108733,0.598522897183044,2.23378966592067,1.0,0.0420000000000016,2.23378966592067,0.0159329314304273,0.3125,0.21875,0.90625,0.00833693386916101,15.5480184911976,-0.16282232315365,-0.9974127105732241,0.00274057606040883,0.00166979708580229,0.0169800617233329,-0.0399999999999992,0.0,0.379468714039372,0.338289918195772,6640.84271,0.0,0.0,1.02365093940663
6,14.259583,-72.43188,5.05,0.5,17.13,0.902514621153912,SXP 5.05,15.9059049471929,0.0951540477295437,16.044,15.609,0.43500000000000094,15.974553571428599,0.0752222705536393,16.065,15.77,0.295000000000002,X-ray,Brown 2019,17.13,,,,285.0,,3,1.0,SXP 5.05,,,check,-0.78544017570197,-1.65032300631983,16.0173033237133,yes,0.0551815902497307,0.0166294589870467,0.0174601808339661,0.19343931409538,0.612903225806452,-0.762995973718568,15.996140377253099,-1.53382235325445,15.893722767421599,-0.275084593347017,15.682189419967198,0.136160190083439,15.631556742118699,,changed est. 17.2 to 17.13,-1.2667047355877,0.786945603467236,-1.38162562464755,0.596448819571561,17.3479290425946,1.0,0.0920000000000005,17.3479290425946,0.0109188072698299,0.5625,0.71875,0.15625,0.00629877182456784,15.9036864917449,0.276519999711647,-1.12913684639149,0.00559367814907016,0.00159879234412252,0.0223398092853028,-0.216999999999999,0.0,0.23477518632522304,0.166968778189058,8100.808209999999,0.0,0.0,1.05876672705556
7,15.722455,-72.74299,6.85,0.5,21.9,0.421282928155758,SXP 6.85,14.7216360808709,0.219998875449281,15.352,14.471,0.881,14.7407551020408,0.149971906295982,15.096,14.578,0.518000000000001,X-ray,"McGowan 2007, Townsend 2009, Kennea 2018, Galache 2008: 112d",24.8,,621.0,4.0,,21.9,2,1.0,three super-orbital periods and mismatched optical and X-ray periods ,keep 24.8 as best period?,,yes,-0.967034362356113,-2.69852816128885,14.762222688692802,,0.0413168097579789,0.021281942062694,0.031076454574915,0.08518429465527,0.578947368421053,-1.74396826560922,14.912792222429,-2.16384748345987,14.722952261212999,0.279000163848486,14.478347980774698,-1.17277355630642,14.6027861391636,,3 epochs,1.01188338873685,0.0996150553031128,0.92768936671074,-0.508443270219703,23.9617223986765,1.0,0.295,23.9617223986765,0.00943484877800316,0.5625,0.34375,0.78125,0.00383245820527145,14.718428240198698,-0.231565945208711,-0.779173924148815,0.0032391324370029803,0.00208095036614693,0.0217456262389852,0.497000000000002,0.0,0.0988442608834993,0.0787808130297957,8099.84125,5.0,1619.96825,1.03841513241431
8,13.541667,-72.42889,6.878,204.0,0.0,0.0,,16.464385906040302,0.0136394882706967,16.526,16.314,0.212,17.8975514705882,0.0323864123317128,17.953,17.812,0.140999999999998,,,,,,,,,6,,,,YES,check,-0.51042932387311,-0.175371949039909,16.716928897182,,0.0279875935929694,0.00699214119483508,0.00723928683967265,-0.493297894206397,0.558823529411765,-0.126183311886808,16.6665152040147,-0.416905838810395,17.0150240818017,5.3706779489905,8.18362036039737,-0.27356841993172,16.7878690808334,,,-0.10143414916564,-1.65354627646504,-0.18266363733087196,-1.08036740632673,6.22845701580613,2.0,0.0837499999999984,6.22845701580613,0.00758066391918177,0.5625,0.65625,0.09375,0.00365064438168816,16.443051132751698,-0.151327005018181,-0.223013917520554,0.00119015380434513,0.0012264045859138699,0.0123705532742953,-0.0359999999999978,1.0,0.9069660847080601,0.732838185792363,6640.80597,0.0,0.0,0.247127029579854
9,13.02375,-72.43445,7.78,0.6,44.92,0.136824890037821,SXP 7.78,14.768246839654,0.0636530193150573,14.987,14.415,0.572000000000001,14.925058441558399,0.0590805346251812,15.144,14.653,0.491,X-ray,,44.91,,1116.0,56.0,,,3,,,,,check,-0.667340526448103,-1.92131446461052,15.0759683286253,yes,0.0330453288695248,0.0211706067444843,0.0790988674954075,0.281293361178872,0.6,-0.9860064552275541,14.9348737954316,-1.11130151045712,14.7751127342451,28.058472789121197,7.207561759374009,-0.994359192187621,14.671413375290802,,identical with established,-2.1985606379269402,8.803888884728131,-2.31957159217475,10.9890666683407,44.9016965885588,1.0,0.0565000000000016,44.9016965885588,0.0381265125603054,0.5625,0.65625,0.09375,0.0124230212556236,14.7627029408383,-0.908258970578594,-0.250843088436218,0.00669719300704002,0.0019791702385474,0.0265646329663273,-0.171000000000001,0.0,0.417335002364033,0.229158333030496,6640.84271,0.0,0.0,2.0325230611258
10,14.493333,-72.37486,7.92,1.5,40.03,1.21453014233296,SXP 7.92,15.8630794663573,0.0606802988909673,16.053,15.536,0.517000000000001,15.7777831325301,0.0601200702595945,15.973,15.687,0.286000000000001,,Bartlett 2017,39.83,,397.0,2.0,,,3,1.0,consistent phase-fold dip and more triangular than type 1 and goes below faint base; color-mag,"re-classifed; to do: check type, check X-ray",,check,-0.683261741144441,-0.433771753427406,15.822570476277198,yes,0.0261023548762241,0.0145345170794527,0.028800504463392,0.037009501780852494,0.619047619047619,-0.100703750143149,15.8720106753854,-0.212489744357587,15.782547586243801,99.70382808678619,7.83570509405499,-0.867063488282528,15.742667292748301,,bootstrap stdev 0.009d,-1.5863413184783501,3.23769244092278,0.982468755664056,0.0531935771910299,39.8349820563453,1.0,0.0419999999999998,39.8349820563453,0.0246495957301125,0.6,0.45,0.85,0.0129843013705932,15.860965651524598,0.0832423567294679,-0.202325556366931,0.0076781616740087,0.00114967333174837,0.0182923193339222,-0.147000000000002,0.0,0.301454008438399,0.203582983235467,8105.88318,0.0,0.0,1.11266696226558
11,12.971667,-72.53,8.9,1.0,28.51,0.522346798389768,SXP 8.9,14.7715826086957,0.303707683288023,15.304,14.341,0.963000000000001,14.75631875,0.236003399654407,15.295,14.411,0.884,X-ray,Galache 2008: 28.4,28.5,,1786.0,32.0,,,1+2,1.0,both faint + bright base? and potential transition to quiescence,,,check,-0.677279277407383,-2.0380152724825,14.7532789797738,yes,0.162636420604451,0.12342348182549101,0.0781027279585012,-0.20707846359756,0.626506024096386,0.14228411147172101,15.0423089211218,-0.686710740941131,14.5484672106439,0.0499780176397538,14.3663811283571,0.0165928046750708,14.362608062722002,,1000 days sometimes,0.37067304011874197,-1.40543015890406,0.573265060335847,-0.557822629517763,28.494468587601,1.0,0.555,28.494468587601,0.00965657470968395,0.5625,0.59375,0.03125,0.0038109194198829906,14.7696470016257,-0.166558622227575,-0.648069387328632,0.000625812775112422,0.00161538390968582,0.017275499202936,0.335000000000003,0.0,0.0568819959241949,0.0454361169101454,8261.13336,0.0,0.0,-0.0734054628906864
