src_n,name,RA,dec,OII I,OII V,OIII I,OIII V,OIV I,OIV V
1,smc116.2.6392,1:17:05.14,-73:26:36.0,,,smc_list/OGLE-III/I/smc116.2.6392.dat,smc_list/OGLE-III/V/smc116.2.5004.dat,,
8,smc108.8.124,0:54:10.27,-72:25:44.1,,,smc_list/OGLE-III/I/smc108.8.124.dat,smc_list/OGLE-III/V/smc108.8.287.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.19.388.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.19.2181.dat
19,smc_sc5.65500,0:49:11.45,-72:49:37.1,smc_list/OGLE-II/I/smc_sc5.65500.dat,smc_list/OGLE-II/V/smc_sc5.65500.dat,smc_list/OGLE-III/I/smc101.8.21127.dat,smc_list/OGLE-III/V/smc101.8.29697.dat,,
42,smc_sc4.116980,0:47:24.17,-73:12:26.6,smc_list/OGLE-II/I/smc_sc4.116980.dat,smc_list/OGLE-II/V/smc_sc4.116980.dat,,,,
61,smc_sc5.111500,0:49:29.81,-73:10:58.0,smc_list/OGLE-II/I/smc_sc5.111500.dat,smc_list/OGLE-II/V/smc_sc5.111500.dat,smc_list/OGLE-III/I/smc100.7.58770.dat,smc_list/OGLE-III/V/smc100.7.78408.dat,,
67,smc_sc2.79541,0:42:07.87,-73:45:01.9,smc_list/OGLE-II/I/smc_sc2.79541.dat,smc_list/OGLE-II/V/smc_sc2.79541.dat,smc_list/OGLE-III/I/smc128.4.317.dat,smc_list/OGLE-III/V/smc128.4.100.dat,,
68,smc_sc3.67183,0:43:15.92,-73:24:36.4,smc_list/OGLE-II/I/smc_sc3.67183.dat,smc_list/OGLE-II/V/smc_sc3.67183.dat,smc_list/OGLE-III/I/smc125.2.6226.dat,smc_list/OGLE-III/V/smc125.2.7003.dat,smc_list/OGLE-IV/I/CALIBRATED/smc713.08.444.dat,smc_list/OGLE-IV/V/CALIBRATED/smc713.08.93.dat
69,smc128.4.17882,0:45:00.08,-73:42:45.5,,,smc_list/OGLE-III/I/smc128.4.17882.dat,smc_list/OGLE-III/V/smc128.4.25337.dat,smc_list/OGLE-IV/I/CALIBRATED/smc720.22.154.dat,smc_list/OGLE-IV/V/CALIBRATED/smc720.22.37.dat
71,smc_sc4.159896,0:48:18.67,-73:20:59.7,smc_list/OGLE-II/I/smc_sc4.159896.dat,smc_list/OGLE-II/V/smc_sc4.159896.dat,smc_list/OGLE-III/I/smc100.8.45221.dat,smc_list/OGLE-III/V/smc100.8.61156.dat,smc_list/OGLE-IV/I/CALIBRATED/smc720.28.522.dat,smc_list/OGLE-IV/V/CALIBRATED/smc720.28.346.dat
72,smc_sc4.178950,0:48:34.13,-73:02:30.9,smc_list/OGLE-II/I/smc_sc4.178950.dat,smc_list/OGLE-II/V/smc_sc4.178950.dat,smc_list/OGLE-III/I/smc100.6.45825.dat,smc_list/OGLE-III/V/smc100.6.61112.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.05.239.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.05.33.dat
