src_n,Porb,RA_OGLE,DEC_OGLE,OII I,OII V,OIII I,OIII V,OIV I,OIV V
2,84.0,01:21:40.61,-72:57:30.9,,,smc_list/OGLE-III/I/smc120.1.5.dat,smc_list/OGLE-III/V/smc120.1.5.dat,smc_list/OGLE-IV/I/CALIBRATED/smc732.03.3540.dat,
3,18.38,00:54:33.44,-73:41:01.3,,,smc_list/OGLE-III/I/smc107.5.22.dat,smc_list/OGLE-III/V/smc107.5.5.dat,smc_list/OGLE-IV/I/CALIBRATED/smc720.17.50.dat,smc_list/OGLE-IV/V/CALIBRATED/smc720.17.19.dat
4,82.37,00:59:12.74,-71:38:44.9,,,smc_list/OGLE-III/I/smc109.2.21.dat,smc_list/OGLE-III/V/smc109.2.5.dat,smc_list/OGLE-IV/I/CALIBRATED/smc718.01.10792.dat,smc_list/OGLE-IV/V/CALIBRATED/smc718.01.21607.dat
5,,00:51:38.79,-72:17:04.8,,,smc_list/OGLE-III/I/smc101.4.21932.dat,smc_list/OGLE-III/V/smc101.4.39141.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.21.22049.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.21.39743.dat
6,17.2,00:57:02.19,-72:25:55.4,smc_list/OGLE-II/I/smc_sc7.266703.dat,smc_list/OGLE-II/V/smc_sc7.266703.dat,smc_list/OGLE-III/I/smc108.8.26225.dat,smc_list/OGLE-III/V/smc108.8.30808.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.18.378.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.18.340.dat
7,21.9,01:02:53.31,-72:44:35.1,smc_list/OGLE-II/I/smc_sc9.146936.dat,smc_list/OGLE-II/V/smc_sc9.146936.dat,smc_list/OGLE-III/I/smc110.6.4726.dat,smc_list/OGLE-III/V/smc110.6.8463.dat,smc_list/OGLE-IV/I/CALIBRATED/smc726.29.18.dat,smc_list/OGLE-IV/V/CALIBRATED/smc726.29.19.dat
9,44.92,00:52:05.63,-72:26:04.1,,,smc_list/OGLE-III/I/smc101.3.34265.dat,smc_list/OGLE-III/V/smc101.3.52732.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.20.144.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.20.50.dat
10,40.03,00:57:58.51,-72:22:29.2,smc_list/OGLE-II/I/smc_sc8.46134.dat,smc_list/OGLE-II/V/smc_sc8.46134.dat,smc_list/OGLE-III/I/smc108.1.28028.dat,smc_list/OGLE-III/V/smc108.1.31005.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.18.465.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.18.178.dat
11,28.51,00:51:53.16,-72:31:48.6,smc_list/OGLE-II/I/smc_sc6.85614.dat,smc_list/OGLE-II/V/smc_sc6.85614.dat,smc_list/OGLE-III/I/smc101.3.5189.dat,smc_list/OGLE-III/V/smc101.3.7743.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.12.35646.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.12.50648.dat
12,77.2,00:49:13.61,-73:11:37.8,smc_list/OGLE-II/I/smc_sc5.111490.dat,smc_list/OGLE-II/V/smc_sc5.111490.dat,smc_list/OGLE-III/I/smc100.7.58825.dat,smc_list/OGLE-III/V/smc100.7.78395.dat,smc_list/OGLE-IV/I/CALIBRATED/smc720.28.40399.dat,smc_list/OGLE-IV/V/CALIBRATED/smc720.28.52791.dat
13,36.3,01:04:42.30,-72:54:04.2,,,smc_list/OGLE-III/I/smc110.8.27411.dat,smc_list/OGLE-III/V/smc110.8.55970.dat,smc_list/OGLE-IV/I/CALIBRATED/smc726.20.19470.dat,smc_list/OGLE-IV/V/CALIBRATED/smc726.20.27602.dat
14,35.6,01:57:16.17,-72:58:32.5,,,,,smc_list/OGLE-IV/I/CALIBRATED/mbr102.01.984.dat,smc_list/OGLE-IV/V/CALIBRATED/mbr102.01.1844.dat
15,,00:48:14.04,-73:22:04.0,smc_list/OGLE-II/I/smc_sc4.156251.dat,smc_list/OGLE-II/V/smc_sc4.156251.dat,smc_list/OGLE-III/I/smc100.8.14642.dat,smc_list/OGLE-III/V/smc100.8.61097.dat,smc_list/OGLE-IV/I/CALIBRATED/smc720.28.190.dat,smc_list/OGLE-IV/V/CALIBRATED/smc720.28.39.dat
16,74.51,00:52:13.99,-73:19:18.8,smc_list/OGLE-II/I/smc_sc6.99923.dat,smc_list/OGLE-II/V/smc_sc6.99923.dat,smc_list/OGLE-III/I/smc100.1.43671.dat,smc_list/OGLE-III/V/smc100.1.59362.dat,smc_list/OGLE-IV/I/CALIBRATED/smc720.26.47.dat,smc_list/OGLE-IV/V/CALIBRATED/smc720.26.58.dat
17,36.43182,00:48:55.36,-73:49:45.7,,,smc_list/OGLE-III/I/smc103.7.6594.dat,smc_list/OGLE-III/V/smc103.7.13959.dat,smc_list/OGLE-IV/I/CALIBRATED/smc720.11.13342.dat,smc_list/OGLE-IV/V/CALIBRATED/smc720.11.20699.dat
20,75.97,01:17:40.16,-73:30:50.6,,,smc_list/OGLE-III/I/smc116.1.5084.dat,smc_list/OGLE-III/V/smc116.1.2965.dat,smc_list/OGLE-IV/I/CALIBRATED/smc733.21.3978.dat,
21,22.5,00:48:14.10,-73:10:03.9,smc_list/OGLE-II/I/smc_sc4.171264.dat,smc_list/OGLE-II/V/smc_sc4.171264.dat,smc_list/OGLE-III/I/smc100.7.50768.dat,smc_list/OGLE-III/V/smc100.7.67662.dat,smc_list/OGLE-IV/I/CALIBRATED/smc720.28.40482.dat,smc_list/OGLE-IV/V/CALIBRATED/smc720.28.52587.dat
22,90.5,01:11:08.58,-73:16:46.3,,,smc_list/OGLE-III/I/smc116.6.64.dat,smc_list/OGLE-III/V/smc116.6.17.dat,smc_list/OGLE-IV/I/CALIBRATED/smc726.08.69.dat,smc_list/OGLE-IV/V/CALIBRATED/smc726.08.31.dat
23,137.36,00:53:55.32,-72:26:45.3,,,smc_list/OGLE-III/I/smc101.3.39655.dat,smc_list/OGLE-III/V/smc101.3.62023.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.20.34.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.20.43.dat
24,62.1,00:54:56.18,-72:26:47.8,smc_list/OGLE-II/I/smc_sc7.70829.dat,smc_list/OGLE-II/V/smc_sc7.70829.dat,smc_list/OGLE-III/I/smc105.5.31239.dat,smc_list/OGLE-III/V/smc105.5.51550.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.19.162.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.19.131.dat
25,110.6,01:07:12.60,-72:35:33.9,smc_list/OGLE-II/I/smc_sc11.48835.dat,smc_list/OGLE-II/V/smc_sc11.48835.dat,smc_list/OGLE-III/I/smc110.3.15926.dat,smc_list/OGLE-III/V/smc110.3.31497.dat,smc_list/OGLE-IV/I/CALIBRATED/smc726.27.20665.dat,smc_list/OGLE-IV/V/CALIBRATED/smc726.27.31587.dat
26,33.38,00:49:03.33,-72:50:52.5,smc_list/OGLE-II/I/smc_sc5.65517.dat,smc_list/OGLE-II/V/smc_sc5.65517.dat,smc_list/OGLE-III/I/smc100.5.44537.dat,smc_list/OGLE-III/V/smc100.5.62406.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.05.41432.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.05.53962.dat
27,362.3,00:52:08.95,-72:38:03.2,smc_list/OGLE-II/I/smc_sc6.77228.dat,smc_list/OGLE-II/V/smc_sc6.77228.dat,smc_list/OGLE-III/I/smc101.2.14349.dat,smc_list/OGLE-III/V/smc101.2.19364.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.11.36482.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.11.52425.dat
