src_n,ra_deg,dec_deg,spin period,perr,est. period,sep,name,mean I,stdev I,max I,min I,I range,mean V,stdev V,max V,min V,V range,est. period method,best period,best superorbital,other period,period shape,big dip,orbital cont,superorbital cont,mult superorbital,changing superorbital amp,redder when brighter,I V-I corr,V V-I corr,I V-I slope,I V-I int,V V-I slope,V V-I int,V-I transition,Type II amp,note,I skew,I kurtosis,V skew,V kurtosis,best auto det pd,Part
1,19.271511,-73.443405,0.7170000000000001,0.5,3.892,0.40410716114463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0
2,20.41893,-72.95907,2.165,2.0,84.0,2.14714250523613,,14.379506269592474,0.3562511738415938,15.06,13.982999999999999,1.077,14.595622222222225,0.1525440976517776,14.753,14.195,0.5579999999999998,,84.0,,6.8,FRED,,,yes,,no,yes,-0.9846799925699676,-0.95466786124574,-2.3144224273066625,14.446889752447204,-1.3144224273066702,14.446889752447204,no,,revisit alias and 6.8,0.768987894492502,-1.03337561992669,-1.537776992806586,1.7045848415681617,83.98507035547844,1.0
3,13.639167,-73.68364,2.37,0.8,18.38,0.25970145650104104,,14.87781344902386,0.2673693028101992,15.687000000000001,14.527999999999999,1.158999999999999,14.887423423423419,0.16383883256098614,15.312999999999999,14.724,0.5890000000000004,,18.38,,17.4,,2.0,yes,,,yes,yes,-0.8002922261337712,-0.6698593996852642,-3.0859443060250533,15.03291824964074,-2.0859443060250538,15.03291824964074,yes,,~1 day error on pd,1.698965125436025,2.0865919597200437,1.4581208595708788,0.8088458941362036,17.404353942606154,1.0
4,14.797429000000001,-71.64596,2.763,7.5,82.37,0.0,,13.919471753484958,0.04226374636920003,14.05,13.857000000000001,0.1930000000000014,14.097887850467286,0.030116076714736883,14.193,14.046,0.14700000000000024,,81.9,,,,1.0,yes,,,,check,-0.883934340856408,0.6471296353848744,-0.6901123096929374,14.047180306094733,0.3098876903070841,14.047180306094733,yes,0.03,possible drift,1.0619458938664854,0.2989441924698069,0.7998281620474734,1.0091358419448246,81.89181818953145,1.0
5,12.91333,-72.28433000000003,4.78,1.4,0.0,0.0,,15.549296078431373,0.04474693458278388,15.663,15.388,0.2750000000000004,15.691031847133756,0.020891109980226842,15.742,15.626,0.11600000000000145,,1.805,1400.0,0.6425,,,,,1200,,check,-0.6677821537439047,0.17975703286765632,-0.8307803173263733,15.66725207628206,0.16921968267360818,15.667252076282065,no,0.133,"0.39,9.5,50.5,70.3 other possible",-0.2575027642876223,1.1813136602672136,-0.2411786721087332,0.5985228971830439,2.2337896659206677,1.0
6,14.259583,-72.43188,5.05,0.5,17.13,0.902514621153912,SXP 5.05,15.905904947192886,0.09515404772954368,16.044,15.609000000000002,0.4350000000000005,15.97455357142857,0.07522227055363925,16.065,15.77,0.2950000000000017,X-ray,17.13,285.0,,FRED,0.0,,yes,check,yes,check,-0.7854401757019701,-0.4472600736284663,-1.6503230063198318,16.017303323713296,-0.6503230063198502,16.0173033237133,yes,0.3,changed est. 17.2 to 17.13,-1.2667047355876973,0.7869456034672355,-1.3816256246475478,0.5964488195715609,17.347929042594565,1.0
7,15.722454999999998,-72.74299,6.85,0.5,21.9,0.421282928155758,,14.721636080870914,0.21999887544928126,15.352,14.470999999999998,0.8810000000000002,14.740755102040815,0.14997190629598206,15.095999999999998,14.578,0.5180000000000007,X-ray,24.8,,21.9,FRED,,,yes,"550,680,745",yes,yes,-0.9670343623561132,-0.9225217209125162,-2.6985281612888525,14.762222688692768,-1.69852816128884,14.762222688692772,,,3 epochs,1.011883388736845,0.09961505530311277,0.9276893667107404,-0.5084432702197033,23.961722398676468,1.0
8,13.541667000000002,-72.42889,6.877999999999999,204.0,0.0,0.0,,16.444344295302013,0.04392469437777858,16.535,16.335,0.1999999999999993,17.897551470588233,0.032386412331712834,17.953,17.812,0.14099999999999824,,,,,,,,,,,check,-0.6451436986931656,-0.0839580926402669,-1.1108471898136805,18.058647996203955,-0.11084718981367724,18.058647996203955,,,,-0.10143414916563996,-1.6535462764650355,-0.1826636373308718,-1.0803674063267266,6.228457015806128,2.0
9,13.02375,-72.43445,7.78,0.6,44.92,0.136824890037821,,14.768246839654028,0.06365301931505729,14.987,14.415,0.572000000000001,14.925058441558445,0.05908053462518116,15.144,14.652999999999999,0.4909999999999997,,44.91,,,FRED,1.0,yes,no,,yes,check,-0.667340526448103,-0.3947793741250649,-1.9213144646105185,15.075968328625308,-0.9213144646105222,15.075968328625304,yes,0.34,identical with established,-2.1985606379269367,8.803888884728131,-2.3195715921747486,10.989066668340683,44.90169658855883,1.0
10,14.493332999999998,-72.37486,7.92,1.5,40.03,1.21453014233296,SXP 7.92,15.86307946635731,0.06068029889096733,16.053,15.536,0.5170000000000012,15.77778313253012,0.06012007025959454,15.972999999999999,15.687000000000001,0.28600000000000136,,39.83,,,FRED,0.0,,no,,yes,check,-0.6832617411444406,0.7737722449334529,-0.4337717534274063,15.822570476277168,0.5662282465726032,15.822570476277168,yes,,bootstrap stdev 0.009d,-1.5863413184783484,3.2376924409227814,0.9824687556640559,0.05319357719102991,39.8349820563453,1.0
